SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktLenMean,Label
192.168.50.8,59261,4.2.2.4,53,17,3.250000,17.750000,24.750000,1.500000,6.140625,1
192.168.50.8,59641,23.194.108.16,443,6,14.012329,8.987671,16.987671,11.008789,7.611328,1
172.217.12.130,443,192.168.50.8,59631,6,17.001190,7.998810,8.998810,11.110352,8.504883,1
192.168.50.8,55642,4.2.2.4,53,17,3.625000,17.375000,24.375000,2.000000,6.328125,1
192.168.50.8,59628,74.208.236.171,80,6,15.002106,6.997894,12.997894,12.002197,5.968750,1
192.168.50.6,64422,8.8.8.8,53,17,4.312500,16.687500,23.687500,2.750000,6.140625,1
192.168.50.6,54802,172.217.10.65,443,6,25.000002,254.000000,3.999999,21.000080,5.718750,1
192.168.50.6,54893,52.85.90.206,443,6,17.001053,7.998947,12.998947,12.061523,6.791016,1
192.168.50.6,62514,4.2.2.4,53,17,4.187500,16.812500,23.812500,2.500000,6.156250,1
192.168.50.6,54868,172.217.9.230,443,6,27.000000,255.000000,4.000000,30.000000,5.988281,1
172.16.0.5,52312,192.168.50.4,15789,6,17.000076,4.999924,10.999924,14.013428,5.875000,1
23.194.108.16,443,192.168.50.8,59638,6,15.003174,8.996834,15.996826,11.031738,8.649414,1
172.217.12.193,443,192.168.50.6,54857,6,17.001587,6.998413,12.998413,12.023682,8.017578,1
192.168.50.8,64063,4.2.2.4,53,17,7.460938,13.539062,20.539062,5.937500,6.312500,1
192.168.50.8,56056,4.2.2.4,53,17,3.625000,17.375000,24.375000,2.000000,6.437500,1
192.168.50.6,54909,74.208.236.171,80,6,22.000025,0.999974,6.999974,18.000874,5.421875,1
192.168.50.8,62834,4.2.2.4,53,17,3.750000,17.250000,24.250000,2.000000,6.234375,1
192.168.50.6,54897,74.208.236.171,80,6,3.250000,17.750000,23.750000,1.500000,6.031250,1
192.168.50.6,61444,4.2.2.4,53,17,5.500000,15.500000,21.500000,4.000000,6.046875,1
192.168.50.6,54918,172.217.10.228,443,6,26.000002,255.000000,4.999998,20.000114,7.152344,1
192.168.50.6,53166,8.8.8.8,53,17,3.500000,17.500000,24.500000,2.000000,6.437500,1
192.168.50.8,59607,172.217.12.193,443,6,27.000000,255.000000,0.999999,30.000000,6.706055,1
192.168.50.3,5353,224.0.0.251,5353,17,3.000000,17.000122,24.000000,3.000000,6.359375,1
172.217.10.226,443,192.168.50.6,54911,6,26.000002,255.000000,2.999999,20.000038,8.137207,1
192.168.50.6,53900,4.2.2.4,53,17,5.000000,16.000000,23.000000,3.250000,6.140625,1
192.168.50.8,59624,74.208.236.171,80,6,4.375000,16.625000,22.625000,2.750000,6.031250,1
192.168.50.8,53345,4.2.2.4,53,17,5.000000,16.000000,23.000000,3.250000,6.234375,1
192.168.50.6,54825,74.208.236.171,80,6,3.375000,17.625000,23.625000,1.500000,6.031250,1
52.85.90.206,443,192.168.50.6,54893,6,16.003189,7.996811,13.996811,12.050293,8.254883,1
192.168.50.8,52807,4.2.2.4,53,17,4.625000,16.375000,23.375000,3.000000,6.203125,1
192.168.50.6,49475,4.2.2.4,53,17,3.625000,17.375000,24.375000,2.000000,6.328125,1
192.168.50.6,63871,4.2.2.4,53,17,3.250000,17.750000,24.750000,1.500000,6.156250,1
192.168.50.8,62421,4.2.2.4,53,17,3.750000,17.250000,24.250000,2.000000,6.359375,1
172.217.11.6,443,192.168.50.8,59637,6,16.000275,7.999725,14.999725,12.046143,6.826172,1
192.168.50.6,63653,4.2.2.4,53,17,3.375000,17.625000,24.625000,1.500000,6.250000,1
192.168.50.6,54838,74.208.236.171,80,6,18.000195,5.999805,10.999805,13.027344,7.043945,1
192.168.50.6,53212,4.2.2.4,53,17,3.375000,17.625000,24.625000,1.500000,6.265625,1
192.168.50.6,61996,4.2.2.4,53,17,5.250000,15.750000,22.750000,3.625000,6.328125,1
192.168.50.6,54878,52.85.89.250,443,6,26.000004,256.000000,3.999997,29.000000,7.443115,1
192.168.50.6,62005,4.2.2.4,53,17,3.250000,17.750000,24.750000,1.500000,6.093750,1
192.168.50.6,54898,74.208.236.171,80,6,3.250000,17.750000,23.750000,1.500000,6.031250,1
52.85.90.206,443,192.168.50.6,54892,6,26.000004,255.000000,4.999997,21.000113,7.641113,1
192.168.50.8,53017,4.2.2.4,53,17,3.375000,17.625000,24.625000,1.500000,6.296875,1
72.21.91.29,80,192.168.50.8,59616,6,26.000000,255.000000,4.000000,30.000000,7.017578,1
