Key,LeftIdx,RightIdx,Feature,SplitValue,num_points,IsLeaf
1,2,21,0,285212672,445,0
2,3,4,4,100663296,301,0
3,-1,-1,4294967295,0,1,1
4,5,18,1,285212672,300,0
5,6,7,2,251658240,72,0
6,-1,-1,4294967295,0,2,1
7,8,9,3,184549376,70,0
8,-1,-1,4294967295,0,2,1
9,10,11,0,201326592,68,0
10,-1,-1,4294967295,0,14,1
11,12,15,0,234881024,54,0
12,13,14,2,285212672,8,0
13,-1,-1,4294967295,0,3,1
14,-1,-1,4294967295,0,5,1
15,16,17,2,268435456,46,0
16,-1,-1,4294967295,0,15,1
17,-1,-1,4294967295,0,31,1
18,19,20,2,285212672,228,0
19,-1,-1,4294967295,0,10,1
20,-1,-1,4294967295,0,218,1
21,22,25,3,385875968,144,0
22,23,24,1,50331648,3,0
23,-1,-1,4294967295,0,1,1
24,-1,-1,4294967295,0,2,1
25,26,37,1,33554432,141,0
26,27,28,3,436207616,125,0
27,-1,-1,4294967295,0,3,1
28,29,36,0,620756992,122,0
29,30,35,0,587202560,72,0
30,31,34,3,486539264,53,0
31,32,33,4,100663296,18,0
32,-1,-1,4294967295,0,3,1
33,-1,-1,4294967295,0,15,1
34,-1,-1,4294967295,0,35,1
35,-1,-1,4294967295,0,19,1
36,-1,-1,4294967295,0,50,1
37,38,39,3,419430400,16,0
38,-1,-1,4294967295,0,9,1
39,-1,-1,4294967295,0,7,1
40,41,42,3,385875968,67,0
41,-1,-1,4294967295,0,8,1
42,43,46,3,419430400,59,0
43,44,45,4,150994944,11,0
44,-1,-1,4294967295,0,9,1
45,-1,-1,4294967295,0,2,1
46,47,48,3,436207616,48,0
47,-1,-1,4294967295,0,2,1
48,-1,-1,4294967295,0,46,1
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
