branch,param,pps,solan,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,20000,2,100,32,8154137.008547417,18463.602658333333,1228.3007166666666
quickscore,1,90000,3,20,16,35338087.98452473,83078.14338333333,698.6613
quickscore,1,140000,1,90,32,16669149.342172043,120238.58139166667,688.0343583333333
randforest,1,20000,2,20,16,0.0,65605.5915,41872.09303333333
quickscore,1,130000,3,70,8,15193487.99950411,119499.02991666667,649.4053583333333
quickscore,1,40000,3,60,8,518.884222375,2.7065083333333333,7963.329866666667
quickscore,1,50000,3,50,16,19865043.631254133,46155.735591666664,872.99745
quickscore,1,90000,2,30,8,522.63988245,2.8065083333333334,7575.90695
quickscore,1,10000,3,100,16,3718064.2799510085,9233.290083333333,1933.08195
quickscore,1,140000,2,20,16,17101950.636154268,122566.68428333334,563.7223166666666
randforest,1,120000,3,10,8,0.0,67752.648025,74287698.58785833
quickscore,1,30000,1,30,8,511.79638655,2.73145,7012.240141666667
quickscore,1,20000,2,90,8,478.75353893333335,2.3318833333333333,9759.812516666667
quickscore,1,40000,2,90,32,15747115.524515258,36924.940325,1030.4355083333332
quickscore,1,20000,2,80,16,8155110.782940191,18463.16145,1105.6287583333333
quickscore,1,120000,2,80,8,517.8846682916667,2.8231916666666668,7631.964025
quickscore,1,100000,2,30,16,3974613.8703470165,92308.16305,670.0941166666667
randforest,1,10000,3,10,64,0.0,38113.02728333334,120449898.65919167
quickscore,1,30000,3,90,8,11529201.055577109,27694.668916666666,990.31
quickscore,1,30000,2,70,16,11539160.261878958,27694.563866666667,976.2016
quickscore,1,110000,3,60,16,7149458.123971801,101540.9014,675.0237083333334
svm,2,110000,1,1,1,9840238.158476008,107565.73123333334,646.3018333333333
quickscore,1,50000,2,10,32,19863723.189226642,46155.992008333335,838.7825166666667
quickscore,1,20000,3,20,32,8158117.125524017,18463.607383333332,964.099575
quickscore,1,90000,3,90,32,35343161.219806045,83078.766175,817.89705
quickscore,1,70000,3,50,8,493.879628725,2.6065583333333335,7218.4826416666665
quickscore,1,10000,1,100,16,3718155.7415429917,9232.946366666667,1672.6339833333334
quickscore,1,40000,1,70,16,15737818.429654108,36925.024691666666,931.6818416666666
quickscore,1,120000,3,70,8,522.8322076416666,2.806575,6916.607633333333
quickscore,1,60000,3,100,16,23323996.15547575,55386.499683333335,983.281775
quickscore,1,90000,2,80,8,528.0051990666667,2.7982666666666667,7021.830133333333
quickscore,1,150000,1,20,32,14167891.790514285,112715.89804166666,593.1486666666667
quickscore,1,70000,3,50,32,27765161.70684911,64617.08739166667,860.2770333333333
randforest,1,130000,2,10,64,0.0,80313.02215,24884693.982675
quickscore,1,110000,1,20,32,7149871.316858824,101525.90995833333,624.1906666666666
randforest,1,70000,1,20,32,0.0,97810.44816666667,19151.307108333334
quickscore,1,130000,2,100,16,14977146.0754978,118144.67134166666,662.0856083333333
quickscore,1,50000,3,10,16,19864430.145486135,46156.0766,797.0460833333333
quickscore,1,90000,2,30,16,35347163.64956274,83077.04285,720.9010416666666
quickscore,1,110000,3,20,32,7154301.800106492,101540.3211,632.1450583333334
randforest,1,140000,2,10,8,0.0,87405.035325,13782.296833333334
quickscore,1,40000,2,30,16,15772705.58221184,36924.91805,881.727
quickscore,1,110000,1,90,16,7146655.413999509,101522.76309166667,703.5783
quickscore,1,70000,2,50,32,27762303.3716131,64617.28035,859.5134083333334
quickscore,1,110000,2,20,16,7158544.916294568,101537.7286,607.7368666666666
