branch,param,pps,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,20000,100,32,8153621.5314241005,18463.632611111112,1198.680811111111
quickscore,1,90000,20,16,35342621.32525185,83077.84673333334,694.0097111111111
quickscore,1,140000,90,32,16651342.694969812,120288.13487777777,695.1879
svm,2,140000,1,1,16278081.123115055,119292.54295277777,625.829025
randforest,1,20000,20,16,0.0,64490.97831666667,40645.71857777778
quickscore,1,130000,70,8,10135517.376011783,79670.58101666666,3048.3571194444444
quickscore,1,40000,60,8,9595103.259186212,22153.843602777775,3639.261030555556
quickscore,1,50000,50,16,19863690.480795138,46155.98082777778,860.2938583333333
quickscore,1,90000,30,8,-137532.2928622059,27301.841180555555,5165.025555555556
quickscore,1,10000,100,16,3717860.5349890445,9233.120227777777,1870.2086527777778
quickscore,1,140000,20,16,16959654.186663885,122242.00073888889,565.6912861111111
randforest,1,120000,10,8,0.0,68835.74790277777,24775324.97873611
quickscore,1,30000,30,8,6955485.76517858,16171.910902777778,3450.4412
quickscore,1,20000,90,8,2720467.8989326973,6156.2713277777775,6119.6782
quickscore,1,40000,90,32,15741814.03830005,36925.08816944445,1038.1908555555556
quickscore,1,20000,80,16,8154656.331446408,18463.555355555556,1085.5547444444444
quickscore,1,120000,80,8,525.6838841138889,2.828755555555556,7296.575913888889
quickscore,1,100000,30,16,3969235.897019392,92308.42167222222,672.307575
randforest,1,10000,10,64,4029.2969649333336,24841.38390277778,83774902.64141944
quickscore,1,30000,90,8,7720037.473704589,18463.918441666665,3310.884555555556
quickscore,1,30000,70,16,11539955.94101225,27694.544936111113,982.1009777777778
quickscore,1,110000,60,16,7148913.961536811,101540.97494722222,672.6030305555556
svm,2,110000,1,1,9688359.956592219,106931.50779444445,662.4237777777778
quickscore,1,50000,10,32,19864678.832247064,46155.84005,809.9969111111111
quickscore,1,20000,20,32,8155736.761495514,18463.229955555555,949.7365138888889
quickscore,1,90000,90,32,35345979.436827086,83078.63980833333,831.0245583333334
quickscore,1,70000,50,8,9310634.972223694,21540.86299166667,5163.583897222222
quickscore,1,40000,70,16,15739364.410001285,36925.05793055556,939.0253416666667
quickscore,1,120000,70,8,2799444.1439439054,34235.36344444445,5005.222697222222
quickscore,1,60000,100,16,23324504.659207646,55386.555733333335,968.9420833333334
quickscore,1,90000,80,8,-5586259.666236233,42495.29273055556,3691.5199666666667
quickscore,1,150000,20,32,16698062.840536918,119265.81665555555,571.4380472222223
quickscore,1,70000,50,32,27763552.98298106,64617.376875,859.0345388888888
randforest,1,130000,10,64,0.0,86899.08039722222,8305020.255325001
quickscore,1,110000,20,32,7151026.065466191,101535.22500555555,630.8294527777778
randforest,1,70000,20,32,0.0,97001.33503333334,20019.936019444445
quickscore,1,130000,100,16,15012131.510653442,118253.4366111111,661.4661972222221
